Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4949,62,4856,31
Andhra Pradesh,India,883587,7122,873427,3038
Arunachal Pradesh,India,16744,56,16609,79
Assam,India,216381,1057,212249,3075
Bihar,India,253695,1415,247929,4351
Chandigarh,India,20026,322,19464,240
Chhattisgarh,India,284536,3437,271988,9111
Dadra and Nagar Haveli and Daman and Diu,India,3379,2,3370,7
Delhi,India,627698,10609,612527,4562
Goa,India,51415,744,49811,860
Gujarat,India,248581,4325,235426,8830
Haryana,India,263571,2927,257952,2692
Himachal Pradesh,India,55910,948,53523,1439
Jammu and Kashmir,India,121923,1897,117426,2600
Jharkhand,India,115840,1038,113380,1422
Karnataka,India,923353,12118,901579,9656
Kerala,India,784488,3184,717311,63993
Ladakh,India,9577,127,9215,235
Lakshadweep,India,0,0,0,0
Madhya Pradesh,India,245318,3662,233229,8427
Maharashtra,India,1950171,49759,1850189,50223
Manipur,India,28418,363,27613,442
Meghalaya,India,13506,141,13216,149
Mizoram,India,4247,8,4153,86
Nagaland,India,11937,79,11714,144
Odisha,India,330690,1887,326778,2025
Puducherry,India,38300,635,37292,373
Punjab,India,167652,5404,159265,2983
Rajasthan,India,310675,2719,300126,7830
Sikkim,India,5938,129,5316,493
Tamil Nadu,India,822370,12177,802385,7808
Telangana,India,288410,1556,281872,4982
Tripura,India,33286,387,32835,64
Uttar Pradesh,India,589611,8433,568892,12286
Uttarakhand,India,92366,1544,87105,3717
West Bengal,India,556384,9841,537250,9293
