Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5016,62,4952,2
Andhra Pradesh,India,889585,7168,881806,611
Arunachal Pradesh,India,16836,56,16777,3
Assam,India,217484,1091,214770,1623
Bihar,India,262418,1539,260401,478
Chandigarh,India,21590,351,20960,279
Chhattisgarh,India,311900,3821,305214,2865
Dadra and Nagar Haveli and Daman and Diu,India,3405,2,3398,5
Delhi,India,638593,10905,626519,1169
Goa,India,54771,791,53449,531
Gujarat,India,268571,4408,262172,1991
Haryana,India,270263,3043,266166,1054
Himachal Pradesh,India,58499,995,57260,244
Jammu and Kashmir,India,126201,1955,123426,820
Jharkhand,India,119795,1087,118241,467
Karnataka,India,949636,12316,931725,5595
Kerala,India,1048686,4150,992372,52164
Ladakh,India,9814,130,9628,56
Lakshadweep,India,331,1,244,86
Madhya Pradesh,India,260681,3859,254387,2435
Maharashtra,India,2129821,51993,2012367,65461
Manipur,India,29253,373,28840,40
Meghalaya,India,13961,148,13793,20
Mizoram,India,4419,10,4382,27
Nagaland,India,12198,91,12094,13
Odisha,India,336924,1915,334400,609
Puducherry,India,39677,667,38814,196
Punjab,India,180382,5799,170713,3870
Rajasthan,India,319929,2785,315936,1208
Sikkim,India,6133,135,5955,43
Tamil Nadu,India,850096,12483,833560,4053
Telangana,India,298453,1632,294911,1910
Tripura,India,33407,391,32984,32
Uttar Pradesh,India,603232,8723,592327,2182
Uttarakhand,India,97031,1690,94850,491
West Bengal,India,574500,10260,560887,3353
