Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5052,62,4976,14
Andhra Pradesh,India,899812,7210,886498,6104
Arunachal Pradesh,India,16845,56,16785,4
Assam,India,218310,1104,215390,1816
Bihar,India,265194,1573,262133,1488
Chandigarh,India,26468,377,23345,2746
Chhattisgarh,India,341516,4096,317239,20181
Dadra and Nagar Haveli and Daman and Diu,India,3623,2,3463,158
Delhi,India,659616,11012,640575,8029
Goa,India,57712,828,55455,1429
Gujarat,India,303118,4500,286577,12041
Haryana,India,288714,3143,276259,9312
Himachal Pradesh,India,62981,1039,59308,2634
Jammu and Kashmir,India,130228,1989,126129,2110
Jharkhand,India,123090,1110,120012,1968
Karnataka,India,989804,12520,953416,23868
Kerala,India,1119542,4590,1090419,24533
Ladakh,India,10007,130,9742,135
Lakshadweep,India,715,1,669,45
Madhya Pradesh,India,291006,3967,271889,15150
Maharashtra,India,2745518,54283,2353307,337928
Manipur,India,29391,374,28950,67
Meghalaya,India,14034,150,13858,26
Mizoram,India,4468,11,4428,29
Nagaland,India,12233,92,12134,7
Odisha,India,340402,1921,336809,1672
Puducherry,India,41226,681,39554,991
Punjab,India,234602,6749,203710,24143
Rajasthan,India,331578,2813,320971,7794
Sikkim,India,6227,135,6049,43
Tamil Nadu,India,881752,12684,855085,13983
Telangana,India,307205,1694,300833,4678
Tripura,India,33493,392,33052,49
Uttar Pradesh,India,615078,8790,597619,8669
Uttarakhand,India,99990,1711,96555,1724
West Bengal,India,585305,10325,569828,5152
