Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5262,63,5082,117
Andhra Pradesh,India,942135,7353,903072,31710
Arunachal Pradesh,India,16920,56,16798,66
Assam,India,222367,1123,216284,4960
Bihar,India,301304,1675,270550,29079
Chandigarh,India,32397,407,28619,3371
Chhattisgarh,India,501500,5442,374289,121769
Dadra and Nagar Haveli and Daman and Diu,India,4523,4,3770,749
Delhi,India,784137,11652,718176,54309
Goa,India,64572,862,58028,5682
Gujarat,India,375768,5076,326394,44298
Haryana,India,335800,3334,301948,30518
Himachal Pradesh,India,73353,1159,64832,7362
Jammu and Kashmir,India,142877,2046,130791,10040
Jharkhand,India,151272,1320,129301,20651
Karnataka,India,1109650,13112,999958,96580
Kerala,India,1197301,4856,1128475,63970
Ladakh,India,11464,132,10167,1165
Lakshadweep,India,901,1,754,146
Madhya Pradesh,India,373518,4365,313459,55694
Maharashtra,India,3639855,59153,2959056,621646
Manipur,India,29579,376,29062,141
Meghalaya,India,14582,151,13974,457
Mizoram,India,4747,12,4477,258
Nagaland,India,12482,93,12267,122
Odisha,India,358342,1935,342570,13837
Puducherry,India,45862,699,41895,3268
Punjab,India,286816,7722,249061,30033
Rajasthan,India,387950,3041,335633,49276
Sikkim,India,6497,136,6132,229
Tamil Nadu,India,962935,12999,891839,58097
Telangana,India,341885,1797,309594,30494
Tripura,India,33875,394,33145,336
Uttar Pradesh,India,766360,9480,627032,129848
Uttarakhand,India,116244,1802,101958,12484
West Bengal,India,636885,10480,589424,36981
