Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6568,85,6267,216
Andhra Pradesh,India,1411320,9271,1194582,207467
Arunachal Pradesh,India,21622,78,19293,2251
Assam,India,324979,2123,277501,45355
Bihar,India,645015,3743,558785,82487
Chandigarh,India,54703,625,46231,7847
Chhattisgarh,India,907589,11590,785598,110401
Dadra and Nagar Haveli and Daman and Diu,India,9447,4,8576,867
Delhi,India,1387411,21244,1299872,66295
Goa,India,134542,2056,101712,30774
Gujarat,India,744409,9039,624107,111263
Haryana,India,685312,6546,582820,95946
Himachal Pradesh,India,157862,2254,116033,39575
Jammu and Kashmir,India,240467,3090,185902,51475
Jharkhand,India,313181,4431,267364,41386
Karnataka,India,2171931,21434,1544982,605515
Kerala,India,2118263,6339,1666232,445692
Ladakh,India,16333,165,14619,1549
Lakshadweep,India,4650,13,3487,1150
Madhya Pradesh,India,724279,6913,617396,99970
Maharashtra,India,5344063,80512,4767053,496498
Manipur,India,39052,562,32275,6215
Meghalaya,India,22763,301,18124,4338
Mizoram,India,8680,24,6498,2158
Nagaland,India,17835,196,13654,3985
Odisha,India,600492,2294,502455,95743
Puducherry,India,82545,1119,64198,17228
Punjab,India,490755,11693,401273,77789
Rajasthan,India,849389,6621,634070,208698
Sikkim,India,11070,203,7857,3010
Tamil Nadu,India,1565035,17359,1339887,207789
Telangana,India,525007,2928,469007,53072
Tripura,India,40816,431,35522,4863
Uttar Pradesh,India,1609140,17238,1414259,177643
Uttarakhand,India,283239,4623,198616,80000
West Bengal,India,1114313,13137,969228,131948
