Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7088,121,6852,115
Andhra Pradesh,India,1738990,11296,1593921,133773
Arunachal Pradesh,India,28786,122,24835,3829
Assam,India,428933,3577,373244,52112
Bihar,India,711190,5319,695562,10309
Chandigarh,India,60487,765,58717,1005
Chhattisgarh,India,978220,13162,938081,26977
Dadra and Nagar Haveli and Daman and Diu,India,10377,4,10261,112
Delhi,India,1428449,24497,1395892,8060
Goa,India,158423,2727,146597,9099
Gujarat,India,814390,9906,782374,22110
Haryana,India,760914,8605,741255,11054
Himachal Pradesh,India,193924,3260,180877,9787
Jammu and Kashmir,India,297602,4026,263961,29615
Jharkhand,India,340408,5034,328542,6832
Karnataka,India,2669514,30895,2358412,280207
Kerala,India,2601082,9510,2416639,174933
Ladakh,India,19076,194,17528,1354
Lakshadweep,India,8568,36,7324,1208
Madhya Pradesh,India,783743,8257,762597,12889
Maharashtra,India,5805565,98771,5507058,199736
Manipur,India,53690,863,43779,9048
Meghalaya,India,37733,643,30980,6110
Mizoram,India,13300,51,9816,3433
Nagaland,India,22387,416,17276,4695
Odisha,India,798699,2912,724402,71385
Puducherry,India,107826,1601,96731,9494
Punjab,India,576119,14927,534915,26277
Rajasthan,India,944500,8599,911897,24004
Sikkim,India,16518,266,12002,4250
Tamil Nadu,India,2195402,26128,1900306,268968
Telangana,India,587664,3346,553400,30918
Tripura,India,54580,550,47663,6367
Uttar Pradesh,India,1696325,21031,1652417,22877
Uttarakhand,India,332959,6631,307045,19283
West Bengal,India,1411448,16034,1342391,53023
