Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7491,128,7349,14
Andhra Pradesh,India,1911231,12919,1865956,32356
Arunachal Pradesh,India,38283,184,34736,3363
Assam,India,524556,4743,496442,23371
Bihar,India,722850,9612,712055,1183
Chandigarh,India,61780,809,60872,99
Chhattisgarh,India,996689,13464,978208,5017
Dadra and Nagar Haveli and Daman and Diu,India,10576,4,10534,38
Delhi,India,1434780,25005,1408917,858
Goa,India,168015,3082,162983,1950
Gujarat,India,824029,10072,811988,1969
Haryana,India,769093,9515,758512,1066
Himachal Pradesh,India,203117,3486,198293,1338
Jammu and Kashmir,India,317761,4349,309973,3439
Jharkhand,India,346113,5118,340463,532
Karnataka,India,2862338,35601,2787111,39626
Kerala,India,3011694,14108,2889186,108400
Ladakh,India,20143,204,19756,183
Lakshadweep,India,9965,49,9670,246
Madhya Pradesh,India,790070,9019,780610,441
Maharashtra,India,6122893,123857,5881167,117869
Manipur,India,74341,1229,66578,6534
Meghalaya,India,52712,886,47597,4229
Mizoram,India,22703,100,18643,3960
Nagaland,India,25663,505,24088,1070
Odisha,India,929788,4358,900282,25148
Puducherry,India,118416,1765,114898,1753
Punjab,India,596970,16141,578865,1964
Rajasthan,India,952887,8942,943010,935
Sikkim,India,21573,311,19287,1975
Tamil Nadu,India,2506848,33196,2439576,34076
Telangana,India,629054,3710,613872,11472
Tripura,India,69019,703,64194,4122
Uttar Pradesh,India,1706934,22666,1682321,1947
Uttarakhand,India,340959,7338,332115,1506
West Bengal,India,1508223,17850,1473718,16655
